"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",4,4,3,4,2,4,4,1,2,1,2,2,1,3,2
"2",3,3,4,1,3,2,4,3,4,1,4,1,2,1,2
"3",3,3,3,1,2,2,1,1,3,3,1,3,1,2,4
"4",1,3,1,2,1,1,3,1,3,1,4,3,3,3,2
"5",4,2,2,3,3,3,3,1,3,4,3,4,1,1,1
"6",1,3,3,4,4,4,3,2,1,3,4,3,4,1,3
"7",3,1,4,4,4,1,3,4,3,3,1,2,2,3,1
"8",3,1,1,2,3,4,3,1,1,2,2,1,2,4,4
"9",3,3,2,3,1,4,1,3,2,4,1,1,3,1,2
"10",2,4,2,4,2,1,3,4,4,2,3,2,3,1,4
"11",2,3,3,1,4,4,1,4,3,1,3,4,2,4,3
"12",1,4,1,4,4,3,1,3,3,2,2,1,2,2,1
"13",3,2,1,1,2,4,4,4,2,3,3,3,4,2,1
"14",1,2,4,3,2,4,2,2,4,2,1,4,2,2,2
"15",2,1,2,1,1,3,3,2,4,1,1,3,4,4,1
"16",1,4,4,2,3,3,4,4,2,3,1,4,3,3,4
"17",2,3,3,2,1,1,4,3,1,2,2,4,1,1,1
"18",2,1,1,4,1,2,4,2,2,4,4,4,2,2,3
"19",2,2,3,3,3,2,1,1,2,2,4,2,3,4,1
"20",4,2,4,4,1,3,1,3,1,1,3,3,3,3,4
"21",4,2,2,1,4,2,4,2,1,2,1,2,3,3,3
"22",4,4,2,2,2,2,2,4,1,4,4,3,2,4,1
"23",3,4,2,3,4,1,2,2,2,1,3,4,4,2,4
"24",2,4,4,1,3,3,2,1,1,4,2,2,4,2,2
"25",4,3,1,4,3,2,2,3,4,3,2,4,4,4,2
"26",1,1,2,1,2,1,1,2,1,3,3,1,1,3,2
"27",2,2,1,2,4,4,2,3,4,4,4,2,1,3,4
"28",3,4,4,3,1,3,3,2,4,3,3,1,1,4,3
"29",1,1,1,3,3,2,2,4,2,1,1,2,1,1,3
"30",1,2,3,3,2,1,4,3,3,4,2,1,4,4,4
"31",4,1,3,2,1,3,2,4,3,2,4,1,4,2,3
"32",4,1,4,2,4,1,1,1,4,4,2,3,3,1,3
