"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,1,1,3,2,2,3,1
"2",1,3,2,1,1,3,3,3,3
"3",1,1,1,2,2,2,3,3,3
"4",2,3,3,1,3,1,1,1,2
"5",2,1,2,2,3,1,3,3,1
"6",1,2,3,1,3,2,3,1,1
"7",2,2,1,1,3,1,3,2,3
"8",3,3,2,2,1,1,3,1,2
"9",1,2,1,3,2,1,2,1,1
"10",1,3,1,2,1,3,1,3,2
"11",1,1,3,3,2,3,2,2,3
"12",3,3,3,3,1,1,2,3,2
"13",3,3,2,2,3,3,2,1,1
"14",1,3,1,3,3,2,3,2,2
"15",3,3,1,1,2,2,3,1,3
"16",2,3,2,3,1,2,1,2,1
"17",3,1,3,1,2,1,2,1,3
"18",3,2,1,3,3,3,1,2,2
"19",1,1,2,2,3,1,2,2,2
"20",2,2,3,1,1,2,1,3,3
"21",3,2,3,1,2,3,2,2,2
"22",2,3,2,1,2,2,2,3,1
"23",2,2,1,3,2,1,1,3,2
"24",1,2,2,3,3,3,1,2,1
"25",2,1,3,3,1,2,2,1,2
"26",3,1,3,3,2,1,3,2,1
"27",2,2,3,2,3,3,2,3,3
"28",3,1,1,2,1,2,3,2,2
"29",1,1,2,1,2,1,1,3,2
"30",1,2,2,2,2,2,1,1,3
"31",2,3,3,2,2,3,3,2,1
"32",2,1,1,3,3,2,1,1,3
"33",2,1,2,1,3,3,3,1,2
"34",1,2,3,2,1,1,3,3,1
"35",2,3,1,2,1,1,2,2,3
"36",3,3,2,3,3,2,2,3,3
"37",2,1,1,2,2,3,1,1,1
"38",3,1,3,2,3,2,1,3,2
"39",1,1,2,1,1,2,2,2,1
"40",3,1,2,1,1,3,1,2,3
"41",2,2,2,3,1,1,3,1,3
"42",3,2,3,2,1,2,1,1,1
"43",2,1,1,3,1,3,2,3,1
"44",1,2,1,1,1,3,2,1,2
"45",3,3,1,1,2,1,1,2,1
"46",1,3,3,3,2,3,3,1,2
"47",3,2,2,3,2,3,3,3,3
"48",1,3,3,2,3,1,1,2,3
