"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,1,3,3,2,3
"2",2,1,1,3,2,3,1
"3",1,3,3,1,1,2,1
"4",2,3,1,1,3,1,2
"5",3,1,3,2,3,2,2
"6",1,2,3,2,2,3,2
"7",3,1,3,3,1,3,3
"8",2,3,3,2,3,3,3
"9",2,1,3,1,1,1,2
"10",2,2,2,3,2,1,3
"11",1,3,2,3,3,3,2
"12",1,2,3,3,3,1,1
"13",3,3,1,2,2,2,3
"14",3,2,2,3,1,2,2
"15",3,2,1,2,1,1,1
"16",3,3,3,3,2,1,1
"17",2,3,1,3,1,2,2
"18",3,2,1,1,3,3,1
"19",1,1,1,2,2,1,2
"20",3,3,2,1,2,3,2
"21",2,2,3,1,2,2,3
"22",3,1,2,1,3,1,3
"23",1,2,1,1,1,3,3
"24",2,2,2,2,3,2,1
"25",2,1,2,2,1,3,1
"26",1,1,2,1,2,2,1
"27",1,3,2,2,1,1,3
